"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript React", "HTML", "comment", "blank", "total"
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/README.md", "Markdown", 0, 0, 257, 0, 0, 0, 0, 179, 436
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/config/db.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/adminsController.js", "JavaScript", 0, 290, 0, 0, 0, 0, 46, 77, 413
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/answerController.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 38, 64
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/corporateTraineeController.js", "JavaScript", 0, 330, 0, 0, 0, 0, 13, 56, 399
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/countriesController.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/coursesController.js", "JavaScript", 0, 325, 0, 0, 0, 0, 32, 61, 418
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/examsController.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 33, 150
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/guestsController.js", "JavaScript", 0, 52, 0, 0, 0, 0, 12, 21, 85
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/individualTraineeController.js", "JavaScript", 0, 468, 0, 0, 0, 0, 18, 85, 571
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/instructorsController.js", "JavaScript", 0, 297, 0, 0, 0, 0, 82, 104, 483
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/reportsController.js", "JavaScript", 0, 103, 0, 0, 0, 0, 1, 40, 144
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/controllers/reviewsController.js", "JavaScript", 0, 99, 0, 0, 0, 0, 1, 40, 140
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/AdminAuthMiddleware.js", "JavaScript", 0, 28, 0, 0, 0, 0, 20, 15, 63
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/CorpTraineeAuthMiddleware.js", "JavaScript", 0, 19, 0, 0, 0, 0, 15, 9, 43
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/IndivTraineeAuthMiddleware.js", "JavaScript", 0, 19, 0, 0, 0, 0, 16, 13, 48
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/InstructorAuthMiddleware.js", "JavaScript", 0, 20, 0, 0, 0, 0, 11, 11, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/errorMiddleware.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/middleware/upload.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 9, 38
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/CReviewModel.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/IReviewModel.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/adminsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 10, 25
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/answersModel.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 8, 28
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/corporateTraineeModel.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 7, 46
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/corpregistercourse.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/countriesModel.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 7, 15
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/coursesModel.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 13, 63
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/examModel.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 8, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/guestsModel.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 6, 17
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/individualTraineeModel.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 7, 47
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/indvtraineeregistercourse.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/instructorsModel.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/reportcommentsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/reportsModel.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/models/subtopicsModel.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/adminsRoutes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 19, 42
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/corporateTraineeRoutes.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 13, 43
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/countriesRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 4, 9
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/courseRoutes.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 7, 34
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/examsRoutes.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/guestsRoutes.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/indvTraineeRoute.js", "JavaScript", 0, 34, 0, 0, 0, 0, 1, 17, 52
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/instructorsRoutes.js", "JavaScript", 0, 34, 0, 0, 0, 0, 4, 18, 56
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/reportsRoutes.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/routes/reviewRoutes.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/backend/server.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 5, 26
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/package-lock.json", "JSON", 44304, 0, 0, 0, 0, 0, 0, 1185081, 1229385
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/package.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 1025, 1093
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 22, 23, 1, 46
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/public/manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/App.css", "CSS", 0, 0, 0, 246, 0, 0, 6, 36, 288
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/App.js", "JavaScript", 0, 387, 0, 0, 0, 0, 6, 82, 475
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/Data.json", "JSON", 1002, 0, 0, 0, 0, 0, 0, 0, 1002
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/app/store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminAddCrpTraineeForm.js", "JavaScript", 0, 99, 0, 0, 0, 0, 0, 35, 134
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminAddInstForm.js", "JavaScript", 0, 115, 0, 0, 0, 0, 1, 29, 145
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminCourseReq.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 20, 34
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminDetails.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 7, 19
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminForm.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 23, 119
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminPromotion.js", "JavaScript", 0, 24, 0, 0, 0, 0, 1, 7, 32
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/AdminReports.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 14, 143
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CRate.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 15, 57
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CReviewDetails.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 8, 19
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CReviewForm.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 16, 83
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Checkbox.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Corpforgetpasswordform.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 10, 54
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Corpregisteredcoursedetails.js", "JavaScript", 0, 267, 0, 0, 0, 0, 0, 35, 302
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Corpviewrequests.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 18, 28
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CountryForm.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 14, 71
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseCard.js", "JavaScript", 0, 231, 0, 0, 0, 0, 0, 32, 263
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseCardDB.js", "JavaScript", 0, 225, 0, 0, 0, 0, 0, 29, 254
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseCardUsers.js", "JavaScript", 0, 276, 0, 0, 0, 0, 0, 32, 308
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseDetails.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 17, 99
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseDetailsInst.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 17, 111
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseForm.js", "JavaScript", 0, 1219, 0, 0, 0, 0, 3, 167, 1389
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfo.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 21, 158
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfoGuest.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 14, 121
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfoInst.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 49, 158
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfoMui.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 37, 163
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfoMuiInst.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 36, 159
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CourseInfoMuiPrev.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 33, 153
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CrpTraineeDetails.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 10, 23
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/CustomSelect.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ExamQs.js", "JavaScript", 0, 232, 0, 0, 0, 0, 0, 55, 287
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ExamQsInst.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 37, 200
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FeaturedCourse2.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FeaturedCourses.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 2, 35
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FilterForm.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 24, 139
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FilterForm2.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 22, 159
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FilterFormPrice.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 21, 125
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/FilterformIndvprice.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 23, 127
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Filterformcorp.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 23, 161
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Filterformcorpprice.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 23, 128
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Filterformindv.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 24, 160
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/IRate.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 14, 56
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/IReviewDetails.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 8, 18
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/IReviewForm.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 17, 83
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/Indvforgetpasswordform.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 8, 54
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/InstforgetpasswordForm.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 8, 53
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/InstructorDetails.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 15, 29
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/ListPage.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/MyReports.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 8, 49
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/NavBarBS.js", "JavaScript", 0, 178, 0, 0, 0, 0, 1, 31, 210
"/Users/omarashraf/Desktop/Sem 7/ACL/CacheCows/frontend/src/components/NavigationBar.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 14, 51
